iter	RMSE
0	0.104938495
1	0.1013581375
2	0.09795639129
3	0.09464964146
4	0.09148391182
5	0.08851219298
6	0.0856487397
7	0.08285769844
8	0.08026321497
9	0.07775163033
10	0.0753806764
11	0.07311264275
12	0.07095685384
13	0.06888870301
14	0.06690179268
15	0.06503758694
16	0.06321947218
17	0.0614939221
18	0.05986267242
19	0.05832155704
20	0.05683008801
21	0.05543337244
22	0.05412810871
23	0.05283972091
24	0.05164427172
25	0.05051977344
26	0.049448102
27	0.04840949031
28	0.04745096885
29	0.04652311226
30	0.04563387985
31	0.04479611976
32	0.04401750621
33	0.04328824738
34	0.042578107
35	0.04191205012
36	0.04126372019
37	0.04068023303
38	0.04010790524
39	0.03957694962
40	0.03908252978
41	0.03862380143
42	0.03820604696
43	0.03778618656
44	0.03739000298
45	0.0369945304
46	0.03662654173
47	0.03629814787
48	0.03599508595
49	0.0357246626
50	0.03541925167
51	0.03513359114
52	0.03487459861
53	0.03460431012
54	0.03438274706
55	0.03416315675
56	0.0339450102
57	0.03374643782
58	0.03355379348
59	0.03338002692
60	0.03319268829
61	0.03302259911
62	0.0328669884
63	0.03272006137
64	0.03258660504
65	0.03246313938
66	0.03232239944
67	0.03220576595
68	0.03207598289
69	0.03198561722
70	0.03187226867
71	0.03176472495
72	0.03165328723
73	0.03156733723
74	0.03147097495
75	0.03139749448
76	0.03130386889
77	0.03121736445
78	0.03114024127
79	0.0310617071
80	0.03096894567
81	0.03090231836
82	0.03083701456
83	0.03077353766
84	0.03071218176
85	0.03065794054
86	0.03058999158
87	0.03051112787
88	0.03045194392
89	0.0304037777
90	0.03034158056
91	0.03030734648
92	0.03024816715
93	0.03020072067
94	0.03013691248
95	0.03009088315
96	0.03005287616
97	0.03000519095
98	0.02996086687
99	0.02991116347
100	0.02986804078
101	0.02983292085
102	0.02979485572
103	0.02975150783
104	0.0297069301
105	0.02966411457
106	0.02962932746
107	0.02957674236
108	0.02953741875
109	0.02948591518
110	0.02944991046
111	0.0294102071
112	0.02936829878
113	0.02933101379
114	0.0293051191
115	0.02927145852
116	0.02924131142
117	0.0292110411
118	0.02916897424
119	0.02913594696
120	0.02910171663
121	0.02908021631
122	0.02904775653
123	0.029021798
124	0.02898489663
125	0.02895522223
126	0.02893328841
127	0.0288989906
128	0.02885394913
129	0.02881789024
130	0.02879910102
131	0.02877946553
132	0.02873840975
133	0.02871598111
134	0.02868948508
135	0.0286580858
136	0.02862622684
137	0.02860466785
138	0.02857679468
139	0.02855120172
140	0.02852563663
141	0.02849113165
142	0.02847063393
143	0.0284464252
144	0.02842380732
145	0.02839890947
146	0.02837317057
147	0.02833831915
148	0.02831929594
149	0.02828668004
150	0.02825481315
151	0.02822423773
152	0.02819426703
153	0.02816835445
154	0.02814143589
155	0.02811773528
156	0.02809025743
157	0.02806367453
158	0.02804714031
159	0.0280287986
160	0.0280159273
161	0.02798513528
162	0.027963002
163	0.02794582551
164	0.02792374564
165	0.02790626647
166	0.02787985145
167	0.02786153862
168	0.02784031185
169	0.02781754568
170	0.02779802048
171	0.02777647964
172	0.02774853357
173	0.02772778371
174	0.0277129683
175	0.02768750759
176	0.02766040594
177	0.0276378895
178	0.02761637645
179	0.0275951013
180	0.02756992406
181	0.02755209314
182	0.02753494875
183	0.02751032884
184	0.02748906218
185	0.02747886541
186	0.02746451452
187	0.02744186437
188	0.02742556255
189	0.02740358267
190	0.02737733469
191	0.02736038351
192	0.02734804215
193	0.02733036205
194	0.0273088197
195	0.0272968224
196	0.0272732739
197	0.02725470134
198	0.02723335938
199	0.02721433064
200	0.02719742527
201	0.02717641009
202	0.02716635517
203	0.02715182529
204	0.02712908995
205	0.02711428486
206	0.02709345118
207	0.0270799173
208	0.02705787747
209	0.02703991721
210	0.0270185933
211	0.02700227946
212	0.02698107049
213	0.02696082416
214	0.02694568577
215	0.02693246424
216	0.0269282028
217	0.02690103499
218	0.02688641253
219	0.0268650787
220	0.02684335246
221	0.02682430149
222	0.02680716675
223	0.02679517597
224	0.0267774755
225	0.02675670142
226	0.02673917726
227	0.0267144771
228	0.02669796673
229	0.02668522944
230	0.02667308991
231	0.02664874701
232	0.02662015561
233	0.02659625342
234	0.02658403349
235	0.0265656496
236	0.02654647584
237	0.02652583375
238	0.02651232262
239	0.02649332681
